Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	MACS2_mqc-generalstats-macs2-control_redundant_rate	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00069	200.0	0.49	0.58	23									
GSM3043057_1					3.4117492833807628	34.77925680374415	51.0	38.0	27.27272727272727	8904604.0			
GSM3043057_2					2.5007506897100193	32.14443273955125	51.0	37.0	9.090909090909092	8904604.0			
GSM3043057_cutadapt_1						31.798862483938592	51.0	37.54427494685484	18.181818181818183	8670592.0			
GSM3043057_cutadapt_2						30.030654890757532	51.0	36.50815388384092	9.090909090909092	8670592.0			
GSM3043057_cutadapt_bowtie2						22.962557175873883	51.0	37.02621441534788	18.181818181818183	17341184.0	95.56		
GSM3043057_cutadapt_bowtie2_bam_stats												17341184	16570642
GSM3043058_1					2.5540412926158758	24.930399437911817	50.0	38.0	18.181818181818183	5065213.0			
GSM3043058_2					2.071455803510112	22.908209162001967	50.0	37.0	9.090909090909092	5065213.0			
GSM3043058_cutadapt_1						22.635441682491518	51.0	37.537413307467105	18.181818181818183	4975342.0			
GSM3043058_cutadapt_2						21.29754726454682	51.0	36.500469314471246	9.090909090909092	4975342.0			
GSM3043058_cutadapt_bowtie2						14.72586156808299	51.0	37.018941310969176	18.181818181818183	9950684.0	97.31		
GSM3043058_cutadapt_bowtie2_bam_stats												9950684	9683497
GSM3043093_1					7.049527673208979	35.86070444364887	51.0	38.0	27.27272727272727	8259441.0			
GSM3043093_2					4.621527344578456	30.955648025350953	51.0	37.0	9.090909090909092	8259441.0			
GSM3043093_cutadapt_1						30.067155252365325	51.0	37.542631180563845	18.181818181818183	7716711.0			
GSM3043093_cutadapt_2						28.004932637486235	51.0	36.49113151963317	18.181818181818183	7716711.0			
GSM3043093_cutadapt_bowtie2						21.255702070052948	51.0	37.01688135009851	18.181818181818183	15433422.0	98.72		
GSM3043093_cutadapt_bowtie2_bam_stats												15433422	15236373
GSM3043094_1					6.037774645670389	45.386194136403276	51.0	38.0	27.27272727272727	12803255.0			
GSM3043094_2					4.355978225849599	39.83327411518579	50.0	37.0	9.090909090909092	12803255.0			
GSM3043094_cutadapt_1						40.50275883415879	51.0	37.542210271204816	18.181818181818183	12063687.0			
GSM3043094_cutadapt_2						37.19654804871039	50.0	36.475783564344795	18.181818181818183	12063687.0			
GSM3043094_cutadapt_bowtie2						28.54748057786334	51.0	37.00899691777481	18.181818181818183	24127374.0	98.55		
GSM3043094_cutadapt_bowtie2_bam_stats												24127374	23777587
