Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00077	200.0	976									
GSM3043055_1			4.9363162873340904	59.18528198415803	50.0	38.0	27.27272727272727	20633558.0			
GSM3043055_2			2.0704318506617074	54.98745046069058	51.0	37.0	27.27272727272727	20633558.0			
GSM3043055_cutadapt_1				56.05451419137613	50.0	37.54226796215375	27.27272727272727	19788593.0			
GSM3043055_cutadapt_2				52.190037212343206	50.0	36.4935322081767	27.27272727272727	19788593.0			
GSM3043055_cutadapt_bowtie2				35.792721893147615	50.0	37.01790008516522	18.181818181818183	39577186.0	96.15		
GSM3043055_cutadapt_bowtie2_bam_stats										39577186	38053852
GSM3043056_1			7.8855755667949365	56.23495592610095	50.0	38.0	27.27272727272727	17866106.0			
GSM3043056_2			2.430894959820961	51.185408099831015	51.0	37.0	27.27272727272727	17866106.0			
GSM3043056_cutadapt_1				51.659219209017785	50.0	37.540791123319885	27.27272727272727	16599359.0			
GSM3043056_cutadapt_2				47.13892552362003	50.0	36.489049547033716	18.181818181818183	16599359.0			
GSM3043056_cutadapt_bowtie2				32.82846536412359	50.0	37.0149203351768	18.181818181818183	33198718.0	95.91		
GSM3043056_cutadapt_bowtie2_bam_stats										33198718	31840079
GSM3043091_1			8.724780378692708	41.073089205457	51.0	38.0	27.27272727272727	9591618.0			
GSM3043091_2			2.508738302490723	36.79807268856461	52.0	37.0	18.181818181818183	9591618.0			
GSM3043091_cutadapt_1				34.989624044790915	51.0	37.54685908476922	18.181818181818183	8826058.0			
GSM3043091_cutadapt_2				31.603183884139966	51.0	36.49123005989763	18.181818181818183	8826058.0			
GSM3043091_cutadapt_bowtie2				23.844178290286237	51.0	37.01904457233343	18.181818181818183	17652116.0	97.71		
GSM3043091_cutadapt_bowtie2_bam_stats										17652116	17248150
GSM3043092_1			17.834043752157562	47.12640826464358	51.0	38.0	36.36363636363637	10416403.0			
GSM3043092_2			3.7206904159536465	42.14949646504241	54.0	37.0	36.36363636363637	10416403.0			
GSM3043092_cutadapt_1				35.47188324078428	51.0	37.50103537506343	18.181818181818183	8623928.0			
GSM3043092_cutadapt_2				32.181774766106784	51.0	36.463216297724195	27.27272727272727	8623928.0			
GSM3043092_cutadapt_bowtie2				23.738544642611885	51.0	36.98212583639381	18.181818181818183	17247856.0	96.17		
GSM3043092_cutadapt_bowtie2_bam_stats										17247856	16586937
