Module	Section	Sample Name	Source
Samtools	flagstat	GSM1010219_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010219/GSM1010219_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1010224_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010224/GSM1010224_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1010220_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010220/GSM1010220_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM1010219_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010219/GSM1010219_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1010224_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010224/GSM1010224_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1010220_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010220/GSM1010220_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM1010219	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010219/GSM1010219.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM1010224	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010224/GSM1010224.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM1010220	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010220/GSM1010220_cutadapt.log
FastQC	all_sections	GSM1010219_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010219/GSM1010219_cutadapt_fastq.gz_qc/GSM1010219_cutadapt_fastqc.zip
FastQC	all_sections	GSM1010219_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010219/GSM1010219_cutadapt_bowtie2_bam_qc/GSM1010219_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1010219	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010219/GSM1010219_fastq.gz_qc/GSM1010219_fastqc.zip
FastQC	all_sections	GSM1010224_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010224/GSM1010224_cutadapt_fastq.gz_qc/GSM1010224_cutadapt_fastqc.zip
FastQC	all_sections	GSM1010224_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010224/GSM1010224_cutadapt_bowtie2_bam_qc/GSM1010224_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1010224	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010224/GSM1010224_fastq.gz_qc/GSM1010224_fastqc.zip
FastQC	all_sections	GSM1010220	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010220/GSM1010220_fastq.gz_qc/GSM1010220_fastqc.zip
FastQC	all_sections	GSM1010220_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010220/GSM1010220_cutadapt_fastq.gz_qc/GSM1010220_cutadapt_fastqc.zip
FastQC	all_sections	GSM1010220_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE41187/samples/GSM1010220/GSM1010220_cutadapt_bowtie2_bam_qc/GSM1010220_cutadapt_bowtie2_fastqc.zip
