Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	MACS2_mqc-generalstats-macs2-control_redundant_rate	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00137	200.0	0.97	0.99	12									
ERR475429					32.82296200630534	92.91598749504018	54.0	51.0	50.0	13010166.0			
ERR475429_cutadapt						89.66970401619132	55.0	50.12664256925736	33.33333333333333	8889199.0			
ERR475429_cutadapt_bowtie2						53.720148315086874	55.0	50.12664256925736	27.27272727272727	8889199.0	61.86		
ERR475429_cutadapt_bowtie2_bam_stats												8889199	5499193
ERR475430					28.799556520623458	91.60302787030523	52.0	51.0	50.0	16447974.0			
ERR475430_cutadapt						88.41570215048591	53.0	50.13132165137152	33.33333333333333	11910100.0			
ERR475430_cutadapt_bowtie2						45.88335577713612	53.0	50.13132165137152	18.181818181818183	11910100.0	67.23		
ERR475430_cutadapt_bowtie2_bam_stats												11910100	8007198
ERR475434					29.580609898075714	83.49919784153346	52.0	51.0	58.333333333333336	14793096.0			
ERR475434_cutadapt						79.4903685219685	52.0	48.59414543304494	33.33333333333333	10930817.0			
ERR475434_cutadapt_bowtie2						23.85873100782966	52.0	48.59414543304494	18.181818181818183	10930817.0	76.22		
ERR475434_cutadapt_bowtie2_bam_stats												10930817	8331177
ERR475435					40.822229947803116	92.55046674203304	51.0	51.0	41.66666666666667	12447908.0			
ERR475435_cutadapt						91.62663970440533	52.0	50.10435020634716	25.0	7478174.0			
ERR475435_cutadapt_bowtie2						71.28326970334544	52.0	50.10435020634716	27.27272727272727	7478174.0	80.32		
ERR475435_cutadapt_bowtie2_bam_stats												7478174	6006744
