Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00034	200.0	906									
GSM1937970			3.1923003660803597	57.01947770512212	50.0	51.0	25.0	18361478.0			
GSM1937970_cutadapt				54.54855492882436	51.0	50.17159381297493	25.0	18066712.0			
GSM1937970_cutadapt_bowtie2				36.17255837025116	51.0	50.17159381297493	18.181818181818183	18066712.0	98.67		
GSM1937970_cutadapt_bowtie2_bam_stats										18066712	17827079
GSM1937971			2.235198308801716	59.51203202481049	50.0	51.0	16.666666666666664	20432024.0			
GSM1937971_cutadapt				57.3701102995137	51.0	50.169742207576775	25.0	20303312.0			
GSM1937971_cutadapt_bowtie2				38.54781340927398	51.0	50.169742207576775	18.181818181818183	20303312.0	98.61		
GSM1937971_cutadapt_bowtie2_bam_stats										20303312	20020578
GSM1937972			6.3643107238890355	63.645247588206075	50.0	51.0	25.0	23481977.0			
GSM1937972_cutadapt				59.96772777253796	50.0	50.172550805473804	25.0	22347592.0			
GSM1937972_cutadapt_bowtie2				40.185710052800395	50.0	50.172550805473804	18.181818181818183	22347592.0	98.1		
GSM1937972_cutadapt_bowtie2_bam_stats										22347592	21922856
