Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00032	200.0	455									
GSM1937964			2.4330177100021784	67.53448857549591	49.0	51.0	16.666666666666664	23748555.0			
GSM1937964_cutadapt				65.3161704343302	49.0	50.074942736678224	25.0	23596256.0			
GSM1937964_cutadapt_bowtie2				39.42753617866135	49.0	50.074942736678224	18.181818181818183	23596256.0	99.71		
GSM1937964_cutadapt_bowtie2_bam_stats										23596256	23527450
GSM1937965			2.2752641636341373	62.31591289458356	49.0	51.0	16.666666666666664	21140380.0			
GSM1937965_cutadapt				60.26572900717799	50.0	50.16613360795535	25.0	21000501.0			
GSM1937965_cutadapt_bowtie2				36.458324538403566	50.0	50.16613360795535	18.181818181818183	21000501.0	97.29		
GSM1937965_cutadapt_bowtie2_bam_stats										21000501	20432216
GSM1937966			2.0225027988662334	65.63344320441175	50.0	51.0	16.666666666666664	25480433.0			
GSM1937966_cutadapt				63.70519922067025	50.0	50.1834734762537	25.0	25368626.0			
GSM1937966_cutadapt_bowtie2				41.029532716712005	50.0	50.1834734762537	18.181818181818183	25368626.0	97.09		
GSM1937966_cutadapt_bowtie2_bam_stats										25368626	24630337
GSM1937972			6.3643107238890355	63.645247588206075	50.0	51.0	25.0	23481977.0			
GSM1937972_cutadapt				59.96772777253796	50.0	50.172550805473804	25.0	22347592.0			
GSM1937972_cutadapt_bowtie2				40.185710052800395	50.0	50.172550805473804	18.181818181818183	22347592.0	98.1		
GSM1937972_cutadapt_bowtie2_bam_stats										22347592	21922856
